Unnamed: 0,text,labels
195," Digital brushes can imitate traditional painting tools  such as oil, pastel, and even acrylics  through pixel simulation.","[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
196, Users can customize the pixel size  to achieve a unique visual effect  which is not possible  with traditional paintings  on canvas.,"[1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 3, 3, 3, 3, 3]"
197, Artists have used artificial intelligence  to create art  since the 1960s.,"[1, 1, 1, 1, 1, 4, 4, 4, 3, 3, 3]"
198, They used a machine learning framework  that allows two algorithms to compete with each other.,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
199, Artificial Intelligence generates pictures  that have visual effects  that are similar to traditional fine art.,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]"
200, People can use text descriptions  to let AI convert their text  into visual picture content.,"[1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3]"
201, Some artists can use image generators  to generate their paintings  instead of drawing  from scratch.,"[1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 3, 3, 3, 3, 3]"
202, Digital art is beneficial  as it allows the preservation of history  that could have been destroyed by events  like natural disasters or war.,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3]"
203," However, the biggest issue  with digital art  is the ownership and copyright.","[0, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1]"
204, It is more challenging  to prove ownership of your digital work  compared to traditional art where you can provide your original sketches and drafts  as proof.,"[1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
205," Since your work may be posted online , frauds may repost or sell it  as their own.","[2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3]"
206, Blockchain and NFTs have been associated  with digital art  since the NFT hype.,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]"
207, Auction houses and various museums started collaborations with digital artists  by selling their NFTs.,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]"
208," Nonetheless, the technology received many criticisms  related to plagiarism and fraud.","[0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
209, Lacking a clearly defined sense of self makes it harder  to know exactly  what you want.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 2, 2]"
210, You may end up  struggling  to make any choice at all  if you feel indecisive.,"[1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2]"
211, Recognizing your own worth starts from your selfimage. ,"[1, 1, 1, 1, 1, 3, 3, 3]"
212," If you do not have a stronger sense of self,  you may get carried away  by other people or circumstances  rather than your own momentum.","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
213, People  who are discontent with themselves  cannot identify the source of their unhappiness .,"[1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0]"
214, The happiness in small things is the end goal.,"[1, 1, 3, 3, 3, 1, 1, 1, 1]"
215," If you have noticed a pattern of making choices  based on certain factors , you are one step closer to defining yourself.","[2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 3, 3, 3]"
216, A strong sense of self benefits people  for the choices  that they make in life.,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2]"
217, Believing in your capabilities  helps you achieve your goals.,"[1, 3, 3, 3, 1, 1, 1, 1, 1]"
218, Having a good handle  on your talents  to maximize them in your daytoday life  suggests a healthy sense of self.,"[1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1]"
219, Being aware of your personal values can go a long way  toward defining your sense of self.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3]"
220, Making decisions  that are grounded in your desires and goals  for yourself  reflect a strong selfawareness.,"[1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1]"
221, It is not uncommon  to have a blurred image of yourself.,"[1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4]"
222, It does not mean that you are destined  to live your life  without a clear identity.,"[0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 4, 3, 3, 3, 3]"
223," Although knowing who you are may not be enough , it’s a good start.","[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1]"
224, It may seem safer and more beneficial  to reshape yourself into someone  who’s more easily accepted  by the majority. ,"[1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 3, 3, 2, 2, 2, 2, 3, 3, 3]"
225, Children  who grew up earning criticism or punishment  from their primary caregivers  are most likely to neglect their internal sense of self. ,"[1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4]"
226," Instead of holding on to your sense of self,  shifting your identity to better fit in  with multiple groups  makes you adopt the role of a social chameleon.","[3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 4, 4, 4, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
227, Different selves and  personas can coexist within the same person who defines themselves as an individual.,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3]"
228, Seeking guidance  from others  does not mean that you lack a sense of self.,"[1, 1, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
229, Failing  to accept your sense of self  could have a negative impact on your emotional health.,"[1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
230, Financial freedom is having a stable income and to feel in control of your finances.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
231, Being on track  to meet your financial goal  is very important  to build your wealth.,"[1, 1, 1, 4, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4]"
232, Financial independence includes adequate money that is stored up  just in case.,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0]"
233, Those  who have achieved financial freedom  have the resources necessary  to live a particular way of life.,"[1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4]"
234," From a financial perspective,  having a consistent, dependable income  over the long term  can provide security.","[3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 1]"
235, It’s helpful  to think about  how financial freedom can offer you a sense of adventure. ,"[1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
236, Defining  what comfort means to you and how it intersects  with your financial goals  is a must.,"[1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 3, 3, 3, 1, 1, 1]"
237," Even though it cannot buy freedom , having enough money ensures your basic needs,  such as food and shelter.","[2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
238, It also gives you the freedom  to choose  what you want to do and when you want to do it.,"[1, 1, 1, 1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2]"
239," If you have enough money,  you can choose to quit an exhausting job .","[2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
240, Having enough money offers you more flexibility for lifetime. ,"[1, 1, 1, 1, 1, 1, 1, 3, 3]"
241," No matter where you are , you should learn to recognize opportunities .","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 0]"
242, Some people work hard and save heavily  for early retirement.,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3]"
243, Riches are constantly on the lookout  for new investment opportunities.,"[1, 1, 1, 3, 3, 3, 3, 3, 3, 3]"
244," If you are struggling  to make ends meet , money will only temporarily make you happy.","[2, 2, 2, 2, 4, 4, 4, 4, 0, 1, 1, 1, 1, 1, 1, 1]"
245, Having enough money  to cover all of ones basic needs  wont guarantee happiness  for everyone.,"[1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 3, 3]"
246, Rich people frequently appear  in the media  to describe  how their quest of wealth made them feel more empty.,"[1, 1, 1, 1, 3, 3, 3, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
247, You can explore what is important to you  with or without money.,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
248, A wise person should have the ways to make money  in their head .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
249, Being compensated  for your labor  does not always imply  that you have made good use of your time.,"[1, 1, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
250, Money is not a cure for all of life’s problems. ,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
251, There is no agreedupon definition of  what participation is.,"[1, 1, 1, 1, 1, 1, 2, 2, 2]"
252," However, it is frequently suggested that it is centered  on engaging  in social activities  that allow for interpersonal interaction  within a community or culture.","[0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]"
253, Terminologies  that are linked to participation  such as social engagement and community participation  are similar to the idea of participation  that is mentioned in here.,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2]"
254, The right to political participation refers to the obligation to grant citizens rights.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4]"
255, These rights are the right  to choose and elect representatives.,"[1, 1, 1, 1, 1, 4, 4, 4, 4, 4]"
256," Everyone has the right  to take part in social, religious, and social activities  as long as they dont conflict  with the rights of others .","[1, 1, 1, 1, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 0]"
257, The right  to vote in elections  must be regulated  by legislation.,"[1, 1, 4, 4, 3, 3, 1, 1, 1, 3, 3]"
258," As societies and technologies evolve,  the ways and means  that citizens use  to participate  also evolves.","[2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 4, 4, 1, 1]"
259, Restricting the right  to vote  based on a physical impairment  is unreasonable.,"[2, 2, 2, 4, 4, 3, 3, 3, 3, 3, 1, 1]"
260, A person may be required to join professional associations  which are established  to ensure a certain standard of performance  such as medical or lawyers’ association .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 0]"
261, A person cannot often be made to join an organization  against their will.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3]"
262," However,  associations  that are necessary  for the functioning of democratic society  are exceptions.","[0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 1, 1]"
263, Laws  that require official recognition of associations  for registration  cannot restrict the right  to associate.,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 1, 1, 1, 1, 4, 4]"
264," The right  to vote  may only be subject to reasonable limitations,  such as a minimum voting age.","[1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3]"
265, An outcast is someone  who is rejected or cast out from home or society .,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
266, Children’s right to participation  that significantly affects their lives has never been well supported.,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
267, The right  to strike is closely tied to the freedom of association.,"[1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1]"
268, One of the most crucial tools  that people use to defend their interests  is the ability  to go on strike.,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 4, 4, 4]"
269," However,  this power must be used in accordance  with any applicable national laws.","[0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]"
270," Depending on their age , older people’s social participation varies.","[3, 3, 3, 3, 0, 1, 1, 1, 1, 1]"
271, Not all adults engage in or need to engage in every form of participation.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
272,  It has been a few months  since we last spoke  on the phone .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 0]"
273,  I arrived in Tokyo  later than I expected  due to adverse weather conditions .,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
274, I am trying to adapt  to the culture .,"[1, 1, 1, 1, 1, 3, 3, 3, 0]"
275," However, learning a culture  that is different  from your own  is hard .","[0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 1, 0]"
276, I have a hard time communicating  with people  because the Japanese do not speak much English.,"[1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 2, 2, 0, 0]"
277," Fortunately, my roommate  who grew up in Scotland  speaks English fluently .","[0, 1, 1, 3, 3, 3, 3, 3, 1, 1, 1, 0]"
278, Perhaps you could come to visit  when I take a vacation  in the spring .,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
279, I am so happy that I decided to spend an entire year  in Japan .,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 0]"
280," It is such a beautiful country  that is famous  for many things , including its art and food .","[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0]"
281," Actually, I am thinking of traveling to Kyoto  which was the old capital of Japan  because I have an extended weekend coming up","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
282," Even though it is a great country , the cost of living is higher  than most countries .","[2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
283, Getting a job  that pays decently  is challenging  unless you can speak Japanese fluently .,"[1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
284," Therefore, my friend  who went through the same thing  recommended me to take evening classes  that focus on speaking skill.","[0, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
285," Actually, I think that I have been getting much better  at speaking Japanese  since I started taking them .","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 0]"
286," If you are planning a trip  to Japan , here are some rules  that you should be aware of .","[2, 2, 2, 2, 2, 2, 3, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
287, I know from past experience that it is better  to keep your voice down  when you are on public transportation.,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2]"
288, I spoke  on the phone once because of a work emergency .,"[1, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0]"
289, But everyone  in the train  was staring at me  as if I had done something wrong .,"[0, 1, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
290," Moreover, unlike in the US , Japan does not have a tipping culture  that is common  in Englishspeaking countries.","[0, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3]"
291, There is more  that you should know  about the culture  before you come here .,"[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 0]"
292," Anyway, moving to Japan was not as good an idea  as I thought. ","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"
293,  I was a small sixyearold  who loved painting  when I started school .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
294, I was excited  about my first day  because I had never gone to school  before .,"[1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 0]"
295,"  At the school gate , parents  who were hugging their children  were everywhere .","[3, 3, 3, 3, 0, 1, 2, 2, 2, 2, 2, 1, 1, 0]"
296, I waited for a teacher  with the other students  at the school gate .,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
297," However, I did not talk to them  because I was too nervous .","[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
298," During break time , I made friends  with a girl  who is called Lisa .","[3, 3, 3, 0, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 0]"
299, I was extremely impressed  with her math skill  because she could count  from 1 to 100 .,"[1, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
300, My first impression of the new high school  that I transferred to  was not good .,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 0]"
301, Everyone  in the class  was staring at me  as if I was from another planet.,"[1, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
302, But I felt better  after a few days  because I made new friends .,"[0, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 0]"
303, There are a variety of clubs  that students can attend .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
304, I even train  at weekends  to keep fit  because I am a member of the basketball club.,"[1, 1, 1, 3, 3, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
305, Romantic novels  that melt my heart  are the reason  why literature is my favorite subject.,"[1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2]"
306, I always watch American TV shows  because It is important  to be surrounded  by the language  that you want to learn .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 0]"
307, I do not like my school  because there are few interesting things  to do.,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 4, 4]"
308, I wish there were a small playground  where I could hang out  with my friends .,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
309," Furthermore, my chemistry teacher  who has been teaching us  for two years  is not a nice person  because she does not explain things  that I do not understand .","[0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
310," If she had explained new topics  in a more interesting way , she would have become a great teacher  who made a difference  in our lives.","[2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]"
311, I wish there were someone  at school  for assistance  whenever I needed it .,"[0, 0, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 0]"
312," Actually, I am thinking of transferring to a new school  where I can attend a sports club.","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
313," Moreover, we are not allowed to use our phones  unless it is break time .","[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
314, I love my neighborhood  because it is safe and clean .,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
315," Because we moved in  a week ago , I don’t know much  about my neighborhood .","[2, 2, 2, 2, 3, 3, 3, 0, 1, 1, 1, 1, 3, 3, 3, 0]"
316, The people  who live next door  seem nice  because they always greet me .,"[1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 0]"
317, I go by myself  because the school is only a tenminute walk away .,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
318, Most children  in the neighborhood  also go to this school  because of its location .,"[1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 0]"
319," Plus, my parents’ restaurant , which is open 7 days a week , is on my way  to school .","[0, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 3, 3, 0]"
320," So, I grab a quick bite there sometimes when I am in a hurry .","[0, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 0]"
321, There were not many kids  who were the same age  as me  in my neighborhood  when I was growing up .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 0]"
322, But I won’t say that it was boring  because my house was in a beautiful location  next to the beach .,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
323," Therefore, my friends and I used to spend an entire day  on the beach .","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
324, There are several surf schools  where you can learn  how to surf .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
325, It took me three months  to learn surfing .,"[1, 1, 1, 1, 1, 4, 4, 4, 0]"
326," In other words, learning to surf is a challenging process  that requires courage .","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]"
327," However, it is definitely worth time and effort  to try .","[0, 1, 1, 1, 1, 1, 1, 1, 4, 4, 0]"
328, One of the drawbacks of living  in my neighborhood  is traffic.,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1]"
329, It is quicker  to walk  than to go  by car or bus  because the traffic is terrible .,"[1, 1, 1, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 0]"
330," Besides, my neighbor has a huge dog  which barks all night .","[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
331," In fact, I could not get to sleep at all last night  because of the dog.","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 3, 3, 3, 3, 3]"
332, I know that we do not have to be best friends  with our neighbors .,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
333, But some of my neighbors  who have known me  for a while  do not even say hello  when we see each other.,"[0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
334, Friendly greetings are good  for community relations.,"[1, 1, 1, 1, 3, 3, 3]"
335, My coworkers and I decided to stop here  for lunch  because we felt hungry .,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 0]"
336, I heard that the famous chef  who studied in France  works here.,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1]"
337, We were very impressed  with the wide selection of drinks .,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 0]"
338," Also, the service was excellent and quick  despite the fact that there were six of us .","[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
339," Personally, t he steak  that I ordered  was the best  because the meat was beautifully cooked .","[0, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
340," In fact, they use high quality Japanese beef  that is exported  around the world .","[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0]"
341, I am sure that this place will be busier  than other restaurants in no time.,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 0, 0, 0]"
342," We ended up at Greyseed restaurant  which is famous  for its delicious dishes, friendly staff and extensive beverage list .","[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
343," Even though the restaurant was full , they got our table ready  in a minute .","[2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
344, We were greeted by a woman  behind a bar  who let us sample some beers  before we made our choices .,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
345," I ordered fried chicken  with honey , whereas my friends had pasta .","[1, 1, 1, 1, 3, 3, 0, 2, 2, 2, 2, 2, 0]"
346, The chicken  that I ordered  was fresh and delicious .,"[1, 1, 2, 2, 2, 1, 1, 1, 1, 0]"
347," Plus, it came in generous portions  for a pretty low price .","[0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0]"
348," For me , the service and friendliness of all the staff were wonderful .","[3, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
349, We decided to go in  because the restaurant looked attractive  from the outside .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
350," At first, I thought that the restaurant would be nice  since it was in a good location.","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
351," However, not only was the food awful , but the price was also very steep .","[0, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
352, My partner  who ordered a large pizza  got a small one .,"[1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]"
353, I ordered a burrito  which had only a few tiny bits of beef .,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
354," Also, people  who were sitting next to us  were laughing loudly .","[0, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0]"
355," Even though I complained to the manager  who welcomed us , he did not offer a refund .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 0]"
356, It is challenging  to have free time  while doing a fulltime job .,"[1, 1, 1, 4, 4, 4, 4, 2, 2, 2, 2, 2, 0]"
357," My friend Lisa , who works at an investment bank , is the busiest person  who I know .","[1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0]"
358," In her free time , she usually takes her dog  for a walk .","[3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
359," If there is a chance , she goes out with her friends  for a drink .","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
360, The restaurant  that she loves to go to  is LaRosa .,"[1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0]"
361," Plus, she loves watching movies  where Tom Cruise is starring .","[0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
362, He is a terrific actor  who performs his own stunts .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
363, Teenagers  who complain about getting bored or having nothing  to do  are the worst .,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 1, 1, 1, 0]"
364," To be honest, I do not understand  why they say that.","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2]"
365," Unlike them , I never get bored .","[3, 3, 0, 1, 1, 1, 1, 0]"
366," If the weather is nice , my friend and I play soccer  in the park .","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
367," Also, those  who know  how to play any musical instrument  never have time  to get bored .","[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 4, 4, 0]"
368, It is a pity that many teenagers live their lives  on social media  like Facebook or Instagram.,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3]"
369," Instead, they better make real friends  who have common interests .","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
370, My friends and I plan to do something together  at the weekend .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
371," Even though we talked about things  that we enjoy doing , we still can’t decide what we want to do .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
372, All my friends  who like traveling  except Lisa  suggested a boat trip .,"[1, 1, 1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 0]"
373," For some reason, she gets seasick  whenever she gets on a boat .","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
374, It took us days  to figure out  what we wanted to do .,"[1, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 0]"
